filename;Goldstandard;Averbis;Confidence
1. halsschmerzen schluckbeschwerden.txt;paracetamol 500 mg, 1-0-1, bei bedarf;paracetamol 500 mg, 1-0-1, bei bedarf;0.9145786891288562
1. halsschmerzen schluckbeschwerden.txt;chlorhexidin 0,2%, 2-3 mal täglich;chlorhexidin 0,2%, 2;0.6570509113650013
2. husten.txt;10 mg ramipril;10 mg ramipril;0.8146228705936616
2. husten.txt;dextromethorphan 15 mg, 1-0-1, bei bedarf;dextromethorphan 15 mg, 1-0-1, bei bedarf;0.6448634323073872
2. husten.txt;salbutamol 100 µg, 1-2 hübe bei bedarf, max. 4-mal täglich;salbutamol 100 µg, 1-2 hübe bei bedarf;0.89127893222282
2. husten.txt;ramipril;ramipril;0.7443761183835422
2. husten.txt;;antitussiva;0.6582385883330208
3. flankenschmerzen.txt;amlodipin 5 mg einmal täglich;amlodipin 5 mg einmal täglich;0.710218473963738
3. flankenschmerzen.txt;metamizol 500 mg, 1-1-1, bei bedarf;metamizol 500 mg, 1-1-1, bei bedarf;0.8489880405587741
3. flankenschmerzen.txt;butylscopolamin 10 mg, 1-1-1, bei bedarf;butylscopolamin 10 mg, 1-1-1;0.7211048325939258
3. flankenschmerzen.txt;amlodipin;amlodipin;0.6746218575992058
3. flankenschmerzen.txt;;antihypertensiven;0.8036185025670931
4. brustschmerzen.txt;ass 100 mg;ass 100 mg;0.6811178269628961
4. brustschmerzen.txt;atorvastatin 20 mg;atorvastatin 20 mg;0.846648505495718
4. brustschmerzen.txt;metoprolol 50 mg;metoprolol 50 mg;0.8605145052932484
4. brustschmerzen.txt;heparin;sublingual und heparin;0.7031727952231728
4. brustschmerzen.txt;sauerstoff über nasensonde mit 4 l/min;sauerstoffgabe über nasensonde: 4 l/min;0.6264074130110214
4. brustschmerzen.txt;morphin 5 mg i.v.;morphin 5 mg i.v.;0.8051080769406038
4. brustschmerzen.txt;ass 250 mg i.v.;ass 250 mg i.v.;0.7591820159246406
