filename;Goldstandard;Averbis;Confidence;Levenshtein Score
1. halsschmerzen schluckbeschwerden.txt;paracetamol 500 mg, 1-0-1, bei bedarf;paracetamol 500 mg, 1-0-1, bei bedarf;0.9145786891288562;1.0
1. halsschmerzen schluckbeschwerden.txt;chlorhexidin 0,2%, 2-3 mal täglich;chlorhexidin 0,2%, 2;0.6570509113650013;0.7407407
2. husten.txt;10 mg ramipril;10 mg ramipril;0.8146228705936616;1.0
2. husten.txt;dextromethorphan 15 mg, 1-0-1, bei bedarf;dextromethorphan 15 mg, 1-0-1, bei bedarf;0.6448634323073872;1.0
2. husten.txt;salbutamol 100 µg, 1-2 hübe bei bedarf, max. 4-mal täglich;salbutamol 100 µg, 1-2 hübe bei bedarf;0.89127893222282;0.7916667
2. husten.txt;;antitussiva;0.6582385883330208;0.0
2. husten.txt;;ramipril;0.7443761183835422;0.0
3. flankenschmerzen.txt;amlodipin 5 mg einmal täglich;amlodipin 5 mg einmal täglich;0.710218473963738;1.0
3. flankenschmerzen.txt;metamizol 500 mg, 1-1-1, bei bedarf;metamizol 500 mg, 1-1-1, bei bedarf;0.8489880405587741;1.0
3. flankenschmerzen.txt;butylscopolamin 10 mg, 1-1-1, bei bedarf;butylscopolamin 10 mg, 1-1-1;0.7211048325939258;0.8235294
3. flankenschmerzen.txt;;antihypertensiven;0.8036185025670931;0.0
3. flankenschmerzen.txt;;amlodipin;0.6746218575992058;0.0
4. brustschmerzen.txt;sauerstoff über nasensonde mit 4 l/min;sauerstoffgabe über nasensonde: 4 l/min;0.6264074130110214;0.8831169
4. brustschmerzen.txt;ass 100 mg;ass 100 mg;0.6811178269628961;1.0
4. brustschmerzen.txt;atorvastatin 20 mg;atorvastatin 20 mg;0.846648505495718;1.0
4. brustschmerzen.txt;metoprolol 50 mg;metoprolol 50 mg;0.8605145052932484;1.0
4. brustschmerzen.txt;morphin 5 mg i.v.;morphin 5 mg i.v.;0.8051080769406038;1.0
4. brustschmerzen.txt;ass 250 mg i.v.;ass 250 mg i.v.;0.7591820159246406;1.0
4. brustschmerzen.txt;heparin 5000 ie i.v.;heparin 5000 ie i.v.;0.77856322577848;1.0
4. brustschmerzen.txt;metoprolol 50 mg p.o.;metoprolol-therapie mit 50 mg p.o.;0.8172592972511847;0.76363635
4. brustschmerzen.txt;atorvastatin 80 mg p.o.;atorvastatin 80 mg p.o.;0.8003903405298848;1.0
4. brustschmerzen.txt;nitroglycerin sublingual;;0.0;0.0
4. brustschmerzen.txt;;sublingual und heparin;0.7031727952231728;0.0
4. brustschmerzen.txt;;thrombozytenaggregationshemmung;0.6645387129918665;0.0
4. brustschmerzen.txt;;antikoagulation;0.6396657374022332;0.0
4. brustschmerzen.txt;;beta-blocker;0.5188702549228507;0.0
4. brustschmerzen.txt;;statintherapie;0.6574010296201702;0.0
5. oberbauchschmerzen.txt;lisinopril 10 mg;lisinopril 10 mg;0.6345225779128955;1.0
5. oberbauchschmerzen.txt;magaldrat 800 mg, 1-1-1, bei bedarf;magaldrat 800 mg, 1-1-1, bei bedarf;0.6993542870119726;1.0
5. oberbauchschmerzen.txt;pantoprazol 40 mg, 1-0-0;pantoprazol 40 mg, 1-0-0;0.7558739477917406;1.0
5. oberbauchschmerzen.txt;lisinopril;lisinopril;0.719288321926181;1.0
6. unterbauchschmerzen.txt;ciprofloxacin 500 mg, 1-0-1;ciprofloxacin 500 mg, 1-0-1;0.9044633219160604;1.0
6. unterbauchschmerzen.txt;ibuprofen 400 mg, 1-1-1, bei bedarf;ibuprofen 400 mg, 1-1-1, bei bedarf;0.913240360775547;1.0
6. unterbauchschmerzen.txt;macrogol 13,7 g, 1-0-1, bei bedarf;macrogol 13,7 g, 1-0-1;0.7822988417707974;0.78571427
6. unterbauchschmerzen.txt;;antibiotische therapie;0.8665430442799694;0.0
6. unterbauchschmerzen.txt;;bei bedarf abführmittel;0.762802547387343;0.0
7. thorakelem druckgefühl.txt;amlodipin 10 mg;amlodipin 10 mg;0.8486198656801704;1.0
7. thorakelem druckgefühl.txt;metformin 1000 mg zweimal täglich;metformin 1000 mg zweimal täglich;0.8839840388729069;1.0
7. thorakelem druckgefühl.txt;paracetamol 500 mg, 1-1-1, bei bedarf;paracetamol 500 mg, 1-1-1, bei bedarf;0.8399800910120035;1.0
7. thorakelem druckgefühl.txt;diazepam 5 mg, 1-0-1, bei bedarf;diazepam 5 mg, 1-0-1, bei bedarf;0.8159603351391386;1.0
7. thorakelem druckgefühl.txt;;bei bedarf beruhigungsmittel;0.7655374723828421;0.0
7. thorakelem druckgefühl.txt;;amlodipin;0.7784445024212172;0.0
7. thorakelem druckgefühl.txt;;metformin;0.87732186541843;0.0
8. fieber.txt;paracetamol 500 mg, 1-1-1, bei bedarf;paracetamol 500 mg, 1-1-1, bei bedarf;0.8992836048878142;1.0
8. fieber.txt;ceftriaxon 2 g, 1-0-0, intravenös;ceftriaxon 2 g, 1-0-0;0.7590036625822375;0.7777778
8. fieber.txt;nacl 0,9%, 1000 ml über 8 stunden, intravenös;nacl 0,9%;0.8001493271460359;0.33333334
8. fieber.txt;;antibiotischen therapie;0.8000359764515957;0.0
9. brennen beim wasserlassen.txt;ciprofloxacin 500 mg, 1-0-1 für 5 tage;ciprofloxacin 500 mg, 1-0-1 für 5 tage;0.914236433640902;1.0
9. brennen beim wasserlassen.txt;ibuprofen 400 mg, 1-1-1, bei bedarf;ibuprofen 400 mg, 1-1-1;0.8989954072107749;0.79310346
9. brennen beim wasserlassen.txt;;antibiotische therapie;0.8540131903346172;0.0
9. brennen beim wasserlassen.txt;;antibiotikatherapie;0.5288484248159248;0.0
10. erbrechen.txt;lisinopril 10 mg;lisinopril 10 mg;0.7013470566959428;1.0
10. erbrechen.txt;furosemid 20 mg;furosemid 20 mg;0.8746055707953325;1.0
10. erbrechen.txt;calciumacetat 500 mg;calciumacetat 500 mg;0.8948682813587959;1.0
10. erbrechen.txt;nacl 0,9%, 1000 ml über 8 stunden, intravenös;nacl 0,9%;0.8247936885533647;0.33333334
10. erbrechen.txt;metoclopramid 10 mg, 1-1-1, intravenös;metoclopramid 10 mg, 1-1-1;0.818180897164345;0.8125
10. erbrechen.txt;furosemid 10 mg, einmal täglich;furosemid auf 10 mg, einmal täglich;0.8279463672220038;0.93939394
10. erbrechen.txt;;diuretischen therapie;0.8449217541311268;0.0
10. erbrechen.txt;;kräutertees;0.5553988005078155;0.0
11. teerstuhl.txt;amlodipin 5 mg;amlodipin 5 mg;0.6973164530049494;1.0
11. teerstuhl.txt;nacl 0,9% 1000 ml über 8 stunden, intravenös;nacl 0,9% über 8 stunden;0.7756460332856735;0.7058824
11. teerstuhl.txt;ciprofloxacin 500 mg, 1-0-1 für 7 tage;ciprofloxacin 500 mg, 1-0-1 für 7 tage;0.9354847621288376;1.0
